iter	Logloss
0	0.6792070022
1	0.6662891496
2	0.6548077859
3	0.6422761854
4	0.6304903134
5	0.6210520724
6	0.6112910922
7	0.6022193781
8	0.5929477285
9	0.5843615353
10	0.5760489125
11	0.5683741491
12	0.5608687124
13	0.5538063654114	0.5476569532115	0.5409067262
16	0.5349723541117	0.5289736911
18	0.5242288192
19	0.5188778684
20	0.514017404
21	0.5093524661
22	0.5048926413
23	0.5009633589
24	0.4972020585
25	0.4933407874
26	0.4895190856
27	0.4863484912828	0.4829711112929	0.4800301111
30	0.4775205276
31	0.4745036764
32	0.4717001114
33	0.4694715114
34	0.4669334135	35	0.4643933436	36	0.4627794437	37	0.4605934938	38	0.4585278939	39	0.456768140	040	0.454469241	041	0.452613842	042	0.450714743	043	0.449033744	044	0.448006145	045	0.446360846	046	0.445226147	047	0.4437239379
48	0.4422492342
49	0.4408553532
50	0.4395653398
51	0.4383493051
52	0.4369985962
53	0.435857854	054	0.4344557885
55	0.433404156	56	0.4323111457	57	0.4311878158	58	0.4300736659	59	0.429280560	060	0.428458561	061	0.42784362	0.62	0.42706563	0.4220880786
64	0.4213903374
65	0.420694537
66	0.4198686175
67	0.4191210046
68	0.4184314885
69	0.4177138174
70	0.470	0.4203984619
71	0.4195655788
72	0.4187287834
73	0.4180585562
74	0.41758801
75	0.416875076	076	0.4162924678
77	0.4157741521
78	0.4152036839
79	0.4146850398
80	0.4139994441
81	0.4135200623
82	0.4130193166
83	0.4124714895
84	0.4121000084
85	0.411578536
86	0.4110221955
87	0.4104774169
88	0.4100431028
89	0.4096995228
90	0.40926591	091	0.40886884
92	0.4084058201
93	0.4079650707
94	0.4075582859
95	0.4071602771
96	0.4067964131
97	0.4063657276
98	0.4058947443
99	0.4055630501
100	0.4051291729
101	0.4046273113
102	0.4042529217
103	0.4038710793
104	0.4035616326
105	0.4032061807
106	0.4029062244
107	0.4024790455
108	0.4021347553
109	0.4017591131
110	0.4016833071
111	0.401318784
112	0.4009390628
113	0.4006243302
114	0.40033755115115	0.39997317116116	0.3997313411117	0.399394453118	0.3956445564
119	0.3953681391
120	0.3950902391
