iter	Passed	Remaining
0	156	156643
1	167	83630
2	177	59097
3	188	47055
4	199	39704
5	212	35275
6	223	31743
7	234	29063
8	245	27047
9	257	25492
10	264	23783
11	275	22678
12	283	21530
13	289	20356
14	301	19811
15	311	19183
16	322	18645
17	335	18295
18	348	17978
19	357	17541
20	371	17302
21	380	16905
22	392	16660
23	400	16288
24	408	15930
25	417	15651
26	430	15499
27	436	15157
28	448	15003
29	460	14892
30	473	14798
31	485	14677
32	493	14473
33	505	14352
34	511	14102
35	522	13995
36	527	13723
37	537	13599
38	548	13527
39	558	13412
40	568	13294
41	579	13209
42	588	13108
43	599	13029
44	607	12888
45	615	12770
46	625	12690
47	639	12690
48	649	12608
49	663	12601
50	676	12586
51	689	12565
52	697	12467
53	701	12287
54	717	12327
55	724	12212
56	734	12154
57	746	12116
58	759	12106
59	767	12023
60	780	12012
61	787	11910
62	796	11842
63	810	11850
64	828	11915
65	835	11828
66	841	11723
67	852	11686
68	862	11642
69	872	11591
70	887	11607
71	897	11564
72	905	11503
73	914	11442
74	921	11363
75	931	11322
76	944	11324
77	954	11277
78	962	11222
79	971	11168
80	981	11137
81	991	11101
82	1000	11057
83	1010	11017
84	1018	10959
85	1026	10913
86	1035	10870
87	1045	10837
88	1054	10794
89	1061	10733
90	1067	10669191	1079	10651
92	1091	10640
93	1103	10637
94	1113	10611
95	1121	10558
96	1129	10516
97	1140	10497
98	1150	10473
99	1162	10458
100	1172	10436
101	1183	10418
102	1192	10387
103	1202	10361
104	1212	10332
105	1224	10324
106	1232	10287
107	1241	10254
108	1246	10189
109	1251	10124
110	1254	10043
111	1258	9981
112	1264	9927
113	1269	9868
114	1274	98115115	1279	97116116	1283	96117117	1289	96118	1303	9649
119	1313	9634
120	1320	9593
121	1331	9581
122	1343	9582
123	1351	9546
124	1359	9518
125	1369	9502
126	1393	9579
127	1400	9539
128	1407	9502
129	1416	9478
130	1425	9454
131	1432	9417
132	1440	9390
133	1448	9362
134	1460	9357
135	1468	9327
136	1475	9294
137	1482	9259
138	1490	9230
139	1499	9211
140	1506	9175
141	1512	9137
142	1517	9094
143	1524	9063
144	1534	9047
145	1542	9025
146	1548	8987
147	1555	8952
148	1563	8928
149	1573	8918
150	1579	8881
151	1585	8842
152	1592	8815
153	1601	8795
154	1606	8756
155	1612	8723
156	1619	8698
157	1636	8721
158	1648	8720
159	1659	8710
160	1665	8679
161	1680	8691
162	1693	8695
163	1708	8707
164	1714	8675
165	1722	8654
166	1732	8642
167	1739	8615
168	1748	8596
169	1755	8570
170	1768	8574
171	1776	8550
172	1784	8528
173	1795	8525
174	1801	8494
175	1810	8477
176	1821	8468
177	1833	8467
178	1843	8453
179	1849	8424
180	1862	8426
181	1875	8429
182	1891	8442
183	1899	8423
184	1908	8409
185	1919	8398
186	1927	8380
187	1939	8377
188	1949	8364
189	1962	8367
190	1972	8352
191	1985	8354
192	1991	8327
193	2000	8310
194	2006	8284
195	2019	8282
196	2026	8258
197	2039	8259
198	2051	8258
199	2067	8271
200	2079	8268
201	2093	8272
202	2103	8259
203	2114	8252
204	2123	8233
205	2135	8230
206	2143	8210
207	2159	8224
208	2167	8204
209	2177	8190
210	2182	8160
211	2191	8144
212	2204	8143
213	2214	8132
214	2222	8114
215	2231	8097
216	2240	8084
217	2246	8056
218	2251	8030
219	2262	8021
220	2272	8010
221	2285	8009
222	2293	7991
223	2300	7970
224	2312	7966
225	2323	7957
226	2336	7955
227	2343	7935
228	2357	7937
229	2367	7924
230	2382	7932
231	2391	7917
232	2405	7917
233	2420	7924
234	2435	7928
235	2443	7911
236	2449	7884
237	2462	7884
238	2472	7872
239	2486	7874
240	2497	7866
241	2508	7857
242	2519	7847
243	2525	7824
244	2544	7842
245	2553	7826
246	2568	7831
247	2584	7836
248	2592	7820
249	2597	7791
250	2599	7756
251	2605	7733
252	2612	7714
253	2621	7700
254	2631	7689
255	2644	7685
256	2652	7667
257	2662	7656
258	2671	7642
259	2682	7634
260	2688	7612
261	2698	7601
262	2707	7585
263	2720	7584
264	2728	7568
265	2739	7558
266	2750	7551
267	2757	7531
268	2767	7519
269	2774	7502
270	2782	7486
271	2793	7476
272	2808	7479
273	2817	7466
274	2826	7450
275	2837	7442
276	2844	7424
277	2855	7417
278	2866	7407
279	2877	7399
280	2888	7390
281	2898	7380
282	2910	7373
283	2917	7355
284	2929	7349
285	2938	7334
286	2947	7321
287	2955	7305
288	2967	7300
289	2976	7286
290	2983	7270
291	2992	7256
292	3007	7255
293	3019	7251
294	3033	7250
295	3048	7249
296	3059	7241
297	3073	7240
298	3082	7227
299	3095	7223
300	3104	7210
301	3116	7202
302	3131	7202
303	3139	7188
304	3151	7180
305	3162	7172
306	3172	7162
307	3183	7153
308	3200	7156
309	3214	7154
310	3225	7146
311	3238	7141
312	3246	7126
313	3257	7116
314	3266	7102
315	3280	7101
316	3291	7090
317	3302	7083
318	3315	7078
319	3325	7067
320	3331	7047
321	3345	7043
322	3359	7040
323	3369	7029
324	3381	7022
325	3391	7012
326	3400	6998
327	3411	6989
328	3426	6988
329	3437	6978
330	3448	6969
331	3460	6963
332	3471	6953
333	3477	6934
334	3490	6929
335	3499	6914
336	3513	6912
337	3526	6906
338	3534	6891
339	3551	6894
340	3562	6883
341	3573	6875
342	3582	6862
343	3591	6848
344	3602	6838
345	3609	6822
346	3618	6808
347	3630	6801
348	3640	6791
349	3650	6778
350	3656	6760
351	3666	6750
352	3675	6735
353	3686	6726
354	3698	6720
355	3710	6712
356	3720	6701
357	3731	6691
358	3739	6677
359	3765	6694
360	3776	6684
361	3788	6676
362	3798	6666
363	3809	6655
364	3818	6643
365	3826	6628
366	3839	6622
367	3850	6612
368	3859	6599
369	3870	6591
370	3888	6593
371	3897	6579
372	3908	6569
373	3917	6557
374	3928	6547
375	3934	6529
376	3940	6511
377	3945	6492
378	3952	6475
379	3957	6456
380	3961	6436
381	3971	6424
382	3976	6406
383	3981	6387
384	3987	6369
385	3992	6350
386	3997	6331
387	4003	6314
388	4007	6295
389	4014	6278
390	4020	6262
391	4024	6241
392	4033	6229
393	4041	6216
394	4049	6202
395	4055	6185
396	4066	6177
397	4073	6161
398	4081	6147
399	4090	6136
400	4099	6124
401	4104	6105
402	4112	6091
403	4118	6076
404	4124	6059
405	4133	6048
406	4142	6035
407	4152	6025
408	4160	6012
409	4168	5998
410	4172	5979
411	4182	5968
412	4189	5954
413	4198	5942
414	4205	5928
415	4213	5915
416	4221	5902
417	4231	5891
418	4240	5879
419	4248	5866
420	4255	5851
421	4261	5837
422	4271	5826
423	4281	5816
424	4291	5805
425	4303	5798
426	4313	5788
427	4321	5775
428	4331	5765
429	4342	5756
430	4352	5745
431	4360	5733
432	4371	5724
433	4387	5722
434	4399	5714
435	4410	5704
436	4419	5694
437	4428	5682
438	4434	5667
439	4445	5657
440	4455	5647
441	4462	5633
442	4475	5626
443	4482	5613
444	4493	5604
445	4502	5592
446	4511	5581
447	4521	5571
448	4528	5557
449	4543	5552
450	4551	5541
451	4558	5526
452	4571	5520
453	4586	5515
454	4602	5512
455	4615	5506
456	4624	5494
457	4631	5480
458	4645	5475
459	4652	5461
460	4663	5452
461	4669	5437
462	4682	5430
463	4694	5422
464	4702	5410
465	4716	5404
466	4727	5395
467	4735	5382
468	4743	5371
469	4754	5361
470	4766	5353
471	4769	5335
472	4779	5324
473	4789	5315
474	4798	5303
475	4806	5290
476	4816	5281
477	4824	5268
478	4834	5258
479	4845	5248
480	4852	5235
481	4863	5226
482	4874	5217
483	4889	5212
484	4898	5202
485	4912	5195
486	4924	5187
487	4933	5176
488	4944	5167
489	4951	5154
490	4961	5143
491	4968	5130
492	4977	5119
493	4986	5107
494	4996	5097
495	5007	5088
496	5019	5080
497	5028	5069
498	5035	5055
499	5046	5046
500	5057	5037
501	5067	5027
502	5076	5015
503	5085	5004
504	5095	4994
505	5104	4983
506	5110	4969
507	5120	4959
508	5137	4956
509	5146	4944
510	5155	4933
511	5167	4924
512	5181	4919
513	5190	4908
514	5204	4901
515	5221	4897
516	5228	4884
517	5241	4877
518	5250	4865
519	5257	4852
520	5265	4841
521	5275	4831
522	5285	4821
523	5293	4808
524	5306	4801
525	5323	4797
526	5334	4787
527	5342	4775
528	5348	4762
529	5357	4751
530	5368	4741
531	5383	4735
532	5393	4725
533	5403	4715
534	5411	4703
535	5421	4693
536	5433	4684
537	5449	4679
538	5460	4670
539	5468	4658
540	5477	4647
541	5491	4640
542	5500	4629
543	5504	4614
544	5508	4598
545	5512	4583
546	5516	4568
547	5520	4553
548	5524	4538
549	5528	4523
550	5532	4508
551	5536	4493
552	5540	4478
553	5544	4463
554	5548	4449
555	5553	4434
556	5556	4419
557	5561	4405
558	5565	4390
559	5569	4375
560	5573	4361
561	5577	4346
562	5581	4332
563	5585	4318
564	5589	565	5601	4295
566	5610	4284
567	5620	4274
568	5633	4267
569	5651	4263
570	5666	4257
571	5676	4247
572	5688	4239
573	5701	4231
574	5710	4220
575	5717	4208
576	5727	4198
577	5734	4186
578	5743	4175
579	5751	4165
580	5759	4153
581	5769	4143
582	5776	4131
583	5787	4122
584	5796	4112
585	5809	4104
586	5820	4094
587	5827	4083
588	5842	4076
589	5854	4068
590	5864	4058
591	5877	4050
592	5889	4042
593	5896	4030
594	5902	4017
595	5908	4005
596	5925	4000
597	5937	3991
598	5950	3983
599	5959	3973
600	5975	3967
601	5987	3958
602	5995	3947
603	6002	3935
604	6018	3929
605	6022	3915
606	6030	3904
607	6045	3898
608	6056	3888
609	6071	3881
610	6081	3871
611	6088	3860
612	6095	3847
613	6104	3837
614	6109	3824
615	6116	3812
616	6124	3801
617	6133	3791
618	6139	3779
619	6152	3770
620	6164	3762
621	6173	3751
622	6185	3742
623	6193	3731
624	6204	3722
625	6213	3712
626	6225	3703
627	6236	3694
628	6249	3686
629	6260	3676
630	6272	3668
631	6281	3657
632	6292	3648
633	6299	3636
634	6307	3625
635	6323	3618
636	6329	3606
637	6338	3596
638	6347	3586
639	6356	3575
640	6362	3563
641	6372	3553
642	6380	3542
643	6389	3532
644	6400	3522
645	6409	3512
646	6420	3503
647	6434	3495
648	6444	3485
649	6451	3474
650	6458	3462
651	6470	3453
652	6480	3443
653	6487	3432
654	6494	3420
655	6505	3411
656	6515	3401
657	6523	3390
658	6532	3380
659	6541	3369
660	6550	3359
661	6560	3349
662	6569	3339
663	6576	3327
664	6584	3316
665	6589	3304
666	6599	3294
667	6612	3286
668	6620	3275
669	6628	3264
670	6633	3252
671	6640	3241
672	6650	3231
673	6664	3223
674	6674	3213
675	6685	3204
676	6690	3192
677	6696	3180
678	6707	3170
679	6714	3159
680	6721	3148
681	6731	3138
682	6741	3129
683	6751	3118
684	6760	3108
685	6765	3096
686	6778	3088
687	6784	3076
688	6791	3065
689	6802	3056
690	6812	3046
691	6819	3035
692	6829	3025
693	6839	3015
694	6848	3005
695	6855	2994
696	6860	2982
697	6868	2971
698	6880	2962
699	6886	2951
700	6897	2942
701	6906	2931
702	6918	2922
703	6929	2913
704	6937	2902
705	6944	2891
706	6960	2884
707	6966	2873
708	6975	2862
709	6984	2852
710	6995	2843
711	7003	2833
712	7012	2822
713	7018	2811
714	7026	2800
715	7047	2795
716	7059	2786
717	7070	2776
718	7080	2767
719	7090	2757
720	7099	2747
721	7111	2738
722	7117	2726
723	7129	2717
724	7143	2709
725	7152	2699
726	7161	2689
727	7173	2680
728	7186	2671
729	7198	2662
730	7209	2652
731	7218	2642
732	7229	2633
733	7238	2623
734	7247	2613
735	7258	2603
736	7262	2591
737	7272	2581
738	7279	2570
739	7286	2560
740	7293	2549
741	7306	2540
742	7312	2529
743	7321	2519
744	7329	2508
745	7338	2498
746	7345	2487
747	7354	2477
748	7364	2467
749	7372	2457
750	7381	2447
751	7389	2437
752	7401	2427
753	7407	2416
754	7416	2406
755	7427	2397
756	7437	2387
757	7444	2376
758	7450	2365
759	7457	2354
760	7462	2343
761	7469	2332
762	7479	2323
763	7487	2312
764	7496	2302
765	7504	2292
766	7514	2282
767	7518	2271
768	7525	2260
769	7534	2250
770	7541	2240
771	7551	2230
772	7556	2219
773	7564	2208
774	7572	2198
775	7579	2187
776	7585	2177
777	7595	2167
778	7604	2157
779	7613	2147
780	7622	2137
781	7633	2127
782	7640	2117
783	7651	2108
784	7660	2098
785	7668	2087
786	7676	2077
787	7685	2067
788	7692	2057
789	7698	2046
790	7705	2035
791	7714	2026
792	7725	2016
793	7733	2006
794	7740	1996
795	7747	1985
796	7753	1974
797	7758	1963
798	7765	1953
799	7775	1943
800	7781	1933
801	7786	1922
802	7793	1912
803	7799	1901
804	7808	1891
805	7813	1880
806	7821	1870
807	7827	1860
808	7835	1849
809	7843	1839
810	7850	1829
811	7859	1819
812	7868	1809
813	7874	1799
814	7883	1789
815	7891	1779
816	7899	1769
817	7905	1758
818	7914	1749
819	7921	1738
820	7927	1728
821	7935	1718
822	7945	1708
823	7952	1698
824	7957	1688
825	7966	1678
826	7974	1668
827	7981	1657
828	7990	1648
829	7999	1638
830	8006	1628
831	8014	1618
832	8022	1608
833	8028	1598
834	8036	1587
835	8048	1578
836	8056	1568
837	8064	1559
838	8071	1548
839	8076	1538
840	8083	1528
841	8090	1518
842	8098	1508
843	8106	1498
844	8114	1488
845	8119	1477
846	8125	1467
847	8134	1458
848	8142	1448
849	8153	1438
850	8161	1429
851	8166	1418
852	8173	1408
853	8182	1398
854	8187	1388
855	8192	1378
856	8199	1368
857	8205	1358
858	8210	1347
859	8220	1338
860	8226	1328
861	8233	1318
862	8239	1308
863	8247	1298
864	8267	1290
865	8271	1279
866	8276	1269
867	8280	1259
868	8285	1248
869	8289	1238
870	8294	1228
871	8298	1218
872	8302	1207
873	8306	1197
874	8311	1187
875	8315	1177
876	8319	1166
877	8323	1156
878	8327	1146
879	8331	1136
880	8335	1125
881	8340	1115
882	8344	1105
883	8348	1095
884	8352	1085
885	8355	1075
886	8359	1065
887	8363	1054
888	8367	1044
889	8371	1034
890	8375	1024
891	8378	1014
892	8382	1004
893	8386	994
894	8390	984
895	8393	974
896	8397	964
897	8401	954
898	8405	944
899	8409	934
900	8412	924
901	8416	914
902	8419	904
903	8423	894
904	8427	884
905	8430	874
906	8434	864
907	8438	855
908	8442	845
909	8446	835
910	8449	825
911	8453	815
912	8456	805
913	8460	796
914	8463	786
915	8467	776
916	8471	766
917	8474	756
918	8478	747
919	8481	737
920	8484	727
921	8488	718
922	8491	708
923	8495	698
924	8498	689
925	8502	679
926	8506	669
927	8510	660
928	8513	650
929	8517	641
930	8520	631
931	8524	621
932	8527	612
933	8531	602
934	8534	593
935	8538	583
936	8542	574
937	8545	564
938	8548	555
939	8552	545
940	8556	536
941	8559	527
942	8563	517
943	8566	508
944	8570	498
945	8573	489
946	8576	479
947	8579	470
948	8583	461
949	8586	451
950	8590	442
951	8593	433
952	8597	424
953	8601	414
954	8604	405
955	8608	396
956	8611	386
957	8615	377
958	8618	368
959	8621	359
960	8624	350
961	8628	340
962	8631	331
963	8635	322
964	8638	313
965	8641	304
966	8645	295
967	8648	285
968	8652	276
969	8655	267
970	8659	258
971	8662	249
972	8665	240
973	8668	231
974	8672	222
975	8675	213
976	8678	204
977	8681	195
978	8685	186
979	8688	177
980	8691	168
981	8695	159
982	8698	150
983	8702	141
984	8705	986	8728	114
987	8731	106
988	8735	97
989	8738	88
990	8741	79
991	8744	70
992	8747	61
993	8751	52
994	8754	43
995	8757	35
996	8760	26
997	8764	17
998	8767	8
999	8770	0
751	8
999	8754	0
